tuple_zipf_exponent,ml_accuracy,ml_f1,heuristic_accuracy,heuristic_f1,accuracy_delta_ml_minus_heuristic,f1_delta_ml_minus_heuristic
0.8,0.94825,0.9205983889528193,0.70225,0.01488833746898263,0.246,0.9057100514838367
1.0,0.965,0.9448818897637795,0.70225,0.01488833746898263,0.26274999999999993,0.9299935522947969
1.2,0.9415,0.8919667590027701,0.7025,0.01652892561983471,0.239,0.8754378333829353
1.4,0.936,0.8805970149253731,0.702,0.013245033112582781,0.2340000000000001,0.8673519818127904
1.6,0.8,0.5,0.7015,0.009950248756218905,0.09850000000000003,0.4900497512437811
